dataset,tree_type,flip_percentage,parameters,fold,accuracy
Australian,OCT,0,1e-05,1,0.8497109826589595
Australian,OCT,0,0.0001,1,0.8554913294797688
Australian,OCT,0,0.001,1,0.8338150289017341
Australian,OCT,0,0.01,1,0.8554913294797688
Australian,OCT,0,0.1,1,0.7543352601156069
Australian,OCT,0,1,1,0.5433526011560693
Australian,OCT,0,10,1,0.5433526011560693
Australian,OCT,0,100,1,0.5433526011560693
Australian,OCT,0,1000,1,0.5433526011560693
Australian,OCT,0,10000,1,0.5433526011560693
Australian,OCT,0,1e-05,2,0.5780346820809248
Australian,OCT,0,0.0001,2,0.5606936416184971
Australian,OCT,0,0.001,2,0.8265895953757225
Australian,OCT,0,0.01,2,0.653179190751445
Australian,OCT,0,0.1,2,0.6994219653179191
Australian,OCT,0,1,2,0.5606936416184971
Australian,OCT,0,10,2,0.5606936416184971
Australian,OCT,0,100,2,0.5606936416184971
Australian,OCT,0,1000,2,0.5606936416184971
Australian,OCT,0,10000,2,0.5606936416184971
Australian,OCT,0,1e-05,3,0.8401162790697675
Australian,OCT,0,0.0001,3,0.8401162790697675
Australian,OCT,0,0.001,3,0.8343023255813954
Australian,OCT,0,0.01,3,0.8415697674418605
Australian,OCT,0,0.1,3,0.7194767441860465
Australian,OCT,0,1,3,0.5290697674418605
Australian,OCT,0,10,3,0.5290697674418605
Australian,OCT,0,100,3,0.5290697674418605
Australian,OCT,0,1000,3,0.5290697674418605
Australian,OCT,0,10000,3,0.5290697674418605
Australian,OCT,0,1e-05,4,0.813953488372093
Australian,OCT,0,0.0001,4,0.813953488372093
Australian,OCT,0,0.001,4,0.813953488372093
Australian,OCT,0,0.01,4,0.8168604651162791
Australian,OCT,0,0.1,4,0.75
Australian,OCT,0,1,4,0.5872093023255814
Australian,OCT,0,10,4,0.5872093023255814
Australian,OCT,0,100,4,0.5872093023255814
Australian,OCT,0,1000,4,0.5872093023255814
Australian,OCT,0,10000,4,0.5872093023255814
Australian,OCT,20,1e-05,1,0.8439306358381503
Australian,OCT,20,0.0001,1,0.8323699421965318
Australian,OCT,20,0.001,1,0.8554913294797688
Australian,OCT,20,0.01,1,0.8554913294797688
Australian,OCT,20,0.1,1,0.7716763005780347
Australian,OCT,20,1,1,0.5433526011560693
Australian,OCT,20,10,1,0.5433526011560693
Australian,OCT,20,100,1,0.5433526011560693
Australian,OCT,20,1000,1,0.5433526011560693
Australian,OCT,20,10000,1,0.5433526011560693
Australian,OCT,20,1e-05,2,0.8208092485549133
Australian,OCT,20,0.0001,2,0.800578034682081
Australian,OCT,20,0.001,2,0.8034682080924855
Australian,OCT,20,0.01,2,0.7861271676300579
Australian,OCT,20,0.1,2,0.8554913294797688
Australian,OCT,20,1,2,0.5606936416184971
Australian,OCT,20,10,2,0.5606936416184971
Australian,OCT,20,100,2,0.5606936416184971
Australian,OCT,20,1000,2,0.5606936416184971
Australian,OCT,20,10000,2,0.5606936416184971
Australian,OCT,20,1e-05,3,0.8343023255813954
Australian,OCT,20,0.0001,3,0.8430232558139535
Australian,OCT,20,0.001,3,0.8546511627906976
Australian,OCT,20,0.01,3,0.8546511627906976
Australian,OCT,20,0.1,3,0.7906976744186045
Australian,OCT,20,1,3,0.5290697674418605
Australian,OCT,20,10,3,0.5290697674418605
Australian,OCT,20,100,3,0.5290697674418605
Australian,OCT,20,1000,3,0.5290697674418605
Australian,OCT,20,10000,3,0.5290697674418605
Australian,OCT,20,1e-05,4,0.7863372093023256
Australian,OCT,20,0.0001,4,0.7936046511627907
Australian,OCT,20,0.001,4,0.7805232558139535
Australian,OCT,20,0.01,4,0.7863372093023255
