dataset,tree_type,flip_percentage,parameters,fold,accuracy
Australian,CART,20,0.01,1,0.9017341040462428
Australian,CART,20,0.1,1,0.5202312138728323
Australian,CART,20,1,1,0.5202312138728323
Australian,CART,20,10,1,0.5202312138728323
Australian,CART,20,0.01,2,0.7745664739884393
Australian,CART,20,0.1,2,0.5144508670520231
Australian,CART,20,1,2,0.5144508670520231
Australian,CART,20,10,2,0.5144508670520231
Australian,CART,20,0.01,3,0.8488372093023255
Australian,CART,20,0.1,3,0.563953488372093
Australian,CART,20,1,3,0.563953488372093
Australian,CART,20,10,3,0.563953488372093
Australian,CART,20,0.01,4,0.7906976744186046
Australian,CART,20,0.1,4,0.622093023255814
Australian,CART,20,1,4,0.622093023255814
Australian,CART,20,10,4,0.622093023255814
Australian,CART,30,0.01,1,0.791907514450867
Australian,CART,30,0.1,1,0.5664739884393064
Australian,CART,30,1,1,0.5664739884393064
Australian,CART,30,10,1,0.5664739884393064
Australian,CART,30,0.01,2,0.8092485549132948
Australian,CART,30,0.1,2,0.5260115606936416
Australian,CART,30,1,2,0.5260115606936416
Australian,CART,30,10,2,0.5260115606936416
Australian,CART,30,0.01,3,0.8546511627906976
Australian,CART,30,0.1,3,0.5872093023255814
Australian,CART,30,1,3,0.5872093023255814
Australian,CART,30,10,3,0.5872093023255814
Australian,CART,30,0.01,4,0.8895348837209303
Australian,CART,30,0.1,4,0.5406976744186046
Australian,CART,30,1,4,0.5406976744186046
Australian,CART,30,10,4,0.5406976744186046
Australian,CART,40,0.01,1,0.5838150289017341
Australian,CART,40,0.1,1,0.5838150289017341
Australian,CART,40,1,1,0.5838150289017341
Australian,CART,40,10,1,0.5838150289017341
Australian,CART,40,0.01,2,0.5260115606936416
Australian,CART,40,0.1,2,0.48554913294797686
Australian,CART,40,1,2,0.48554913294797686
Australian,CART,40,10,2,0.48554913294797686
Australian,CART,40,0.01,3,0.5523255813953488
Australian,CART,40,0.1,3,0.436046511627907
Australian,CART,40,1,3,0.436046511627907
Australian,CART,40,10,3,0.436046511627907
Australian,CART,40,0.01,4,0.8372093023255814
Australian,CART,40,0.1,4,0.4127906976744186
Australian,CART,40,1,4,0.4127906976744186
Australian,CART,40,10,4,0.4127906976744186
BreastCancer,CART,20,0.01,1,0.92
BreastCancer,CART,20,0.1,1,0.8742857142857143
BreastCancer,CART,20,1,1,0.6114285714285714
BreastCancer,CART,20,10,1,0.6114285714285714
BreastCancer,CART,20,0.01,2,0.9542857142857143
BreastCancer,CART,20,0.1,2,0.92
BreastCancer,CART,20,1,2,0.72
BreastCancer,CART,20,10,2,0.72
BreastCancer,CART,20,0.01,3,0.88
BreastCancer,CART,20,0.1,3,0.8742857142857143
BreastCancer,CART,20,1,3,0.64
BreastCancer,CART,20,10,3,0.64
BreastCancer,CART,20,0.01,4,0.9080459770114943
BreastCancer,CART,20,0.1,4,0.8620689655172413
BreastCancer,CART,20,1,4,0.6494252873563219
BreastCancer,CART,20,10,4,0.6494252873563219
BreastCancer,CART,30,0.01,1,0.8971428571428571
BreastCancer,CART,30,0.1,1,0.6628571428571428
BreastCancer,CART,30,1,1,0.6628571428571428
BreastCancer,CART,30,10,1,0.6628571428571428
BreastCancer,CART,30,0.01,2,0.9314285714285714
BreastCancer,CART,30,0.1,2,0.6857142857142857
BreastCancer,CART,30,1,2,0.6857142857142857
BreastCancer,CART,30,10,2,0.6857142857142857
BreastCancer,CART,30,0.01,3,0.9142857142857143
BreastCancer,CART,30,0.1,3,0.72
BreastCancer,CART,30,1,3,0.72
BreastCancer,CART,30,10,3,0.72
BreastCancer,CART,30,0.01,4,0.9367816091954023
BreastCancer,CART,30,0.1,4,0.5517241379310345
BreastCancer,CART,30,1,4,0.5517241379310345
BreastCancer,CART,30,10,4,0.5517241379310345
BreastCancer,CART,40,0.01,1,0.8971428571428571
BreastCancer,CART,40,0.1,1,0.6514285714285715
BreastCancer,CART,40,1,1,0.6514285714285715
BreastCancer,CART,40,10,1,0.6514285714285715
BreastCancer,CART,40,0.01,2,0.8571428571428571
BreastCancer,CART,40,0.1,2,0.64
BreastCancer,CART,40,1,2,0.64
BreastCancer,CART,40,10,2,0.64
BreastCancer,CART,40,0.01,3,0.9485714285714286
BreastCancer,CART,40,0.1,3,0.6742857142857143
BreastCancer,CART,40,1,3,0.6742857142857143
BreastCancer,CART,40,10,3,0.6742857142857143
BreastCancer,CART,40,0.01,4,0.9022988505747126
BreastCancer,CART,40,0.1,4,0.6551724137931034
BreastCancer,CART,40,1,4,0.6551724137931034
BreastCancer,CART,40,10,4,0.6551724137931034
Heart,CART,20,0.01,1,0.7941176470588235
Heart,CART,20,0.1,1,0.5588235294117647
Heart,CART,20,1,1,0.5588235294117647
Heart,CART,20,10,1,0.5588235294117647
Heart,CART,20,0.01,2,0.7205882352941176
Heart,CART,20,0.1,2,0.5294117647058824
Heart,CART,20,1,2,0.5294117647058824
Heart,CART,20,10,2,0.5294117647058824
Heart,CART,20,0.01,3,0.5522388059701493
Heart,CART,20,0.1,3,0.47761194029850745
Heart,CART,20,1,3,0.47761194029850745
Heart,CART,20,10,3,0.47761194029850745
Heart,CART,20,0.01,4,0.6865671641791045
Heart,CART,20,0.1,4,0.6567164179104478
Heart,CART,20,1,4,0.6567164179104478
Heart,CART,20,10,4,0.6567164179104478
Heart,CART,30,0.01,1,0.7058823529411765
Heart,CART,30,0.1,1,0.39705882352941174
Heart,CART,30,1,1,0.39705882352941174
Heart,CART,30,10,1,0.39705882352941174
Heart,CART,30,0.01,2,0.75
Heart,CART,30,0.1,2,0.6323529411764706
Heart,CART,30,1,2,0.6323529411764706
Heart,CART,30,10,2,0.6323529411764706
Heart,CART,30,0.01,3,0.6865671641791045
Heart,CART,30,0.1,3,0.5074626865671642
Heart,CART,30,1,3,0.5074626865671642
Heart,CART,30,10,3,0.5074626865671642
Heart,CART,30,0.01,4,0.7164179104477612
Heart,CART,30,0.1,4,0.5223880597014925
Heart,CART,30,1,4,0.5223880597014925
Heart,CART,30,10,4,0.5223880597014925
Heart,CART,40,0.01,1,0.6617647058823529
Heart,CART,40,0.1,1,0.5147058823529411
Heart,CART,40,1,1,0.5147058823529411
Heart,CART,40,10,1,0.5147058823529411
Heart,CART,40,0.01,2,0.7352941176470589
Heart,CART,40,0.1,2,0.5882352941176471
Heart,CART,40,1,2,0.5882352941176471
Heart,CART,40,10,2,0.5882352941176471
Heart,CART,40,0.01,3,0.5074626865671642
Heart,CART,40,0.1,3,0.5373134328358209
Heart,CART,40,1,3,0.5373134328358209
Heart,CART,40,10,3,0.5373134328358209
Heart,CART,40,0.01,4,0.6567164179104478
Heart,CART,40,0.1,4,0.3880597014925373
Heart,CART,40,1,4,0.3880597014925373
Heart,CART,40,10,4,0.3880597014925373
Ionosphere,CART,20,0.01,1,0.8409090909090909
Ionosphere,CART,20,0.1,1,0.6704545454545454
Ionosphere,CART,20,1,1,0.6704545454545454
Ionosphere,CART,20,10,1,0.6704545454545454
Ionosphere,CART,20,0.01,2,0.7840909090909091
Ionosphere,CART,20,0.1,2,0.6136363636363636
Ionosphere,CART,20,1,2,0.6136363636363636
Ionosphere,CART,20,10,2,0.6136363636363636
Ionosphere,CART,20,0.01,3,0.9318181818181818
Ionosphere,CART,20,0.1,3,0.6590909090909091
Ionosphere,CART,20,1,3,0.6590909090909091
Ionosphere,CART,20,10,3,0.6590909090909091
Ionosphere,CART,20,0.01,4,0.8275862068965517
Ionosphere,CART,20,0.1,4,0.6206896551724138
Ionosphere,CART,20,1,4,0.6206896551724138
Ionosphere,CART,20,10,4,0.6206896551724138
Ionosphere,CART,30,0.01,1,0.875
Ionosphere,CART,30,0.1,1,0.7045454545454546
Ionosphere,CART,30,1,1,0.7045454545454546
Ionosphere,CART,30,10,1,0.7045454545454546
Ionosphere,CART,30,0.01,2,0.7840909090909091
Ionosphere,CART,30,0.1,2,0.6022727272727273
Ionosphere,CART,30,1,2,0.6022727272727273
Ionosphere,CART,30,10,2,0.6022727272727273
Ionosphere,CART,30,0.01,3,0.8181818181818182
Ionosphere,CART,30,0.1,3,0.6022727272727273
Ionosphere,CART,30,1,3,0.6022727272727273
Ionosphere,CART,30,10,3,0.6022727272727273
