dataset,tree_type,flip_percentage,parameters,fold,accuracy
BreastCancer,CART,20,1,1,0.6628571428571428
BreastCancer,CART,20,10,1,0.6628571428571428
BreastCancer,CART,20,100,1,0.6628571428571428
BreastCancer,CART,20,1000,1,0.6628571428571428
BreastCancer,CART,20,10000,1,0.6628571428571428
BreastCancer,CART,20,100000,1,0.6628571428571428
BreastCancer,CART,20,1e-05,2,0.8857142857142857
BreastCancer,CART,20,0.0001,2,0.8857142857142857
BreastCancer,CART,20,0.001,2,0.8857142857142857
BreastCancer,CART,20,0.01,2,0.8628571428571429
BreastCancer,CART,20,0.1,2,0.8628571428571429
BreastCancer,CART,20,1,2,0.6228571428571429
BreastCancer,CART,20,10,2,0.6228571428571429
BreastCancer,CART,20,100,2,0.6228571428571429
BreastCancer,CART,20,1000,2,0.6228571428571429
BreastCancer,CART,20,10000,2,0.6228571428571429
BreastCancer,CART,20,100000,2,0.6228571428571429
BreastCancer,CART,20,1e-05,3,0.9542857142857143
BreastCancer,CART,20,0.0001,3,0.9542857142857143
BreastCancer,CART,20,0.001,3,0.9542857142857143
BreastCancer,CART,20,0.01,3,0.96
BreastCancer,CART,20,0.1,3,0.8857142857142857
BreastCancer,CART,20,1,3,0.6571428571428571
BreastCancer,CART,20,10,3,0.6571428571428571
BreastCancer,CART,20,100,3,0.6571428571428571
BreastCancer,CART,20,1000,3,0.6571428571428571
BreastCancer,CART,20,10000,3,0.6571428571428571
BreastCancer,CART,20,100000,3,0.6571428571428571
BreastCancer,CART,20,1e-05,4,0.9655172413793104
BreastCancer,CART,20,0.0001,4,0.9655172413793104
BreastCancer,CART,20,0.001,4,0.9655172413793104
BreastCancer,CART,20,0.01,4,0.9482758620689655
BreastCancer,CART,20,0.1,4,0.896551724137931
BreastCancer,CART,20,1,4,0.6781609195402298
BreastCancer,CART,20,10,4,0.6781609195402298
BreastCancer,CART,20,100,4,0.6781609195402298
BreastCancer,CART,20,1000,4,0.6781609195402298
BreastCancer,CART,20,10000,4,0.6781609195402298
BreastCancer,CART,20,100000,4,0.6781609195402298
BreastCancer,CART,30,1e-05,1,0.9085714285714286
BreastCancer,CART,30,0.0001,1,0.9085714285714286
BreastCancer,CART,30,0.001,1,0.9085714285714286
