Australian,CART,20,0.01,1,0.8670520231213873
Australian,CART,20,0.1,1,0.5317919075144508
Australian,CART,20,1,1,0.5317919075144508
Australian,CART,20,10,1,0.5317919075144508
Australian,CART,20,0.01,2,0.815028901734104
Australian,CART,20,0.1,2,0.5780346820809249
Australian,CART,20,1,2,0.5780346820809249
Australian,CART,20,10,2,0.5780346820809249
Australian,CART,20,0.01,3,0.8372093023255814
Australian,CART,20,0.1,3,0.5406976744186046
Australian,CART,20,1,3,0.5406976744186046
Australian,CART,20,10,3,0.5406976744186046
Australian,CART,20,0.01,4,0.813953488372093
Australian,CART,20,0.1,4,0.43023255813953487
Australian,CART,20,1,4,0.43023255813953487
Australian,CART,20,10,4,0.43023255813953487
Australian,CART,30,0.01,1,0.815028901734104
Australian,CART,30,0.1,1,0.5780346820809249
Australian,CART,30,1,1,0.5780346820809249
Australian,CART,30,10,1,0.5780346820809249
Australian,CART,30,0.01,2,0.7861271676300579
Australian,CART,30,0.1,2,0.5606936416184971
Australian,CART,30,1,2,0.5606936416184971
Australian,CART,30,10,2,0.5606936416184971
Australian,CART,30,0.01,3,0.8430232558139535
Australian,CART,30,0.1,3,0.5755813953488372
Australian,CART,30,1,3,0.5755813953488372
Australian,CART,30,10,3,0.5755813953488372
Australian,CART,30,0.01,4,0.877906976744186
Australian,CART,30,0.1,4,0.5058139534883721
Australian,CART,30,1,4,0.5058139534883721
Australian,CART,30,10,4,0.5058139534883721
Australian,CART,40,0.01,1,0.6763005780346821
Australian,CART,40,0.1,1,0.5028901734104047
Australian,CART,40,1,1,0.5028901734104047
Australian,CART,40,10,1,0.5028901734104047
Australian,CART,40,0.01,2,0.7687861271676301
Australian,CART,40,0.1,2,0.6127167630057804
Australian,CART,40,1,2,0.6127167630057804
Australian,CART,40,10,2,0.6127167630057804
Australian,CART,40,0.01,3,0.8313953488372093
Australian,CART,40,0.1,3,0.42441860465116277
Australian,CART,40,1,3,0.42441860465116277
Australian,CART,40,10,3,0.42441860465116277
Australian,CART,40,0.01,4,0.47093023255813954
